Frame Count,r,x,y,z,can_see_geometric_center,can_see_center_of_mass,theta,,r,x,y,z,can_see_geometric_center,can_see_center_of_mass,theta
130,3.11169499,-0.22841016,1.702169132,32.40416885,TRUE,FALSE,0.282929694,,,,,,,,
130,3.034043061,-0.376095673,1.456316594,35.55811175,FALSE,TRUE,0.43530705,,,,,,,,
130,3.019457884,-0.428721196,1.319175667,35.89131925,FALSE,TRUE,0.412811066,,,,,,,,
,,,,,,,,,,,,,,,
131,2.834821407,-0.922780526,1.061903833,34.25609581,FALSE,FALSE,0.414127993,,2.68,-0.86,1.321,32.744,TRUE,FALSE,0.359024128
131,2.775600716,-2.278441523,1.894660406,35.8262337,FALSE,FALSE,1.386755633,,,,,,,,
131,2.682553711,-0.818223319,1.368700764,32.55068256,TRUE,FALSE,0.219562764,,,,,,,,
131,2.680464004,-0.859688448,1.321457974,32.74363768,TRUE,FALSE,0.359024128,,,,,,,,
131,2.165302595,-1.319370226,-1.184321719,32.3789405,TRUE,FALSE,0.246967206,,,,,,,,
131,2.018509789,1.960844784,1.793305526,33.52199318,FALSE,FALSE,0.437679917,,,,,,,,
,,,,,,,,,,,,,,,
132,3.521383472,-1.600203632,1.239529174,35.23536393,FALSE,FALSE,0.622489831,,3.332,-1.306,1.219,32.837,TRUE,FALSE,0.290063382
132,3.331693829,-1.306068233,1.218602636,32.83685192,TRUE,FALSE,0.290063382,,,,,,,,
132,3.25509384,-0.559329801,1.738339283,32.83672945,TRUE,FALSE,0.40300766,,,,,,,,
132,2.862969229,-2.07375629,-0.738200102,33.80879471,FALSE,FALSE,0.129568252,,,,,,,,
132,2.821858657,-2.138979507,-1.524225673,33.65146866,FALSE,FALSE,0.533474877,,,,,,,,
132,2.408701349,1.718836407,1.446527842,35.58468348,FALSE,FALSE,1.117017731,,,,,,,,
,,,,,,,,,,,,,,,
133,3.45503991,-1.013581824,0.808926897,35.45473814,FALSE,FALSE,1.042958858,,3.047,-0.336,0.565,33.375,TRUE,FALSE,0.393310098
